timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,1.0815169935669826,0.0,2.9806208236528597,1.0,0.5249754347290398,0.5915503501688872,0.625,0.13618634327882795,0.11546857017138946,-0.5738328302857671,14.729685296929965,138.0921595970243,0.5151665736534735,16.298605560950527,nan,nan,nan,nan
800,100,1.660851214239912,0.00034048767811064494,2.879616630375899,1.0,0.5579645276573345,0.6248452780654911,1.25,0.2628323305559357,0.4407388114926558,-0.602485520231824,17.51944887135931,260.79122285933147,0.5290558785326775,17.257261435675552,nan,nan,nan,nan
1200,150,1.867100189290685,0.0,3.4689397369088133,1.0,0.48030283845697214,0.5517544584545798,1.25,0.2628323305559357,0.4387293048703539,-0.5997798494546865,13.482754366347878,205.0917277725382,0.5328284810440471,16.04220553598867,nan,nan,nan,nan
1600,200,2.011717450723011,0.00010905756959202788,5.787055769004918,1.0,0.5204947075368727,0.6012753785638417,1.375,0.2652876846590879,0.4288438113964389,-0.5982913165897004,17.166628127322404,281.3230028915987,0.28334896589266234,14.608456206982328,nan,nan,nan,nan
2000,250,2.5143367713720517,0.0,6.269725851940879,1.0,0.5042152049722672,0.5822409349617762,2.0,0.34337760327554234,0.5900642875927675,-0.6131600757533032,9.580072894793217,246.56065715560712,0.5125944648133416,15.634481665627625,nan,nan,nan,nan
2400,300,1.3522817657551345,0.0,3.1184709124762375,1.0,0.5697818971021853,0.6245833069658094,1.0,0.20992336169580011,0.26925132832126175,-0.5828950982378651,14.609952229356553,301.0035030069838,0.43449044459473835,14.018522667722467,nan,nan,nan,nan
2800,350,2.054921901472399,0.0008009060300140531,6.522641704198978,1.0,0.5511885992210072,0.6029570362876598,1.75,0.3123962198965511,0.28295557331072674,-0.5908020619706629,13.916476321744563,244.9284633988321,0.46527175276870236,8.479917731625438,nan,nan,nan,nan
3200,400,2.220584879489605,1.6773333333333333,3.956842478422793,1.0,0.4666598275246475,0.5778950332009122,1.375,0.29320073611449243,0.7456333166153597,-0.6128871712525865,20.78510979230387,301.9728863878935,0.32103148955015637,13.810891509940575,nan,nan,nan,nan
3600,450,1.3870382447557317,0.0,3.2617141486129126,1.0,0.5401454924360573,0.5856395761976504,0.875,0.18477351764189529,0.2756516094684163,-0.5846144918936981,17.879115678263766,181.68895082788737,0.24080123362136785,13.625848969437172,nan,nan,nan,nan
4000,500,1.8480429953110167,0.0,6.676981375191005,1.0,0.5086513743294232,0.5783078839479502,1.5,0.2638090455334837,0.1250290200990038,-0.5839157521790108,13.332203915344419,221.27609394939378,0.4788038012353748,9.841801580821588,nan,nan,nan,nan
4400,550,1.9049453543481694,0.0003190819448587973,3.3315040261013023,1.0,0.48850582504789886,0.5595013864796178,1.375,0.2836603801127722,0.44225569401540543,-0.6018613215404133,18.656283716396317,228.41370182262065,0.5748205204660763,14.723720305509259,nan,nan,nan,nan
4800,600,2.252814473726718,1.8318712589315436,2.9466666666666668,1.0,0.49809112503561,0.5538095700869585,1.5,0.31835058016839723,0.7575564380479025,-0.6216140356534607,13.58776095819669,287.7155274144712,0.6134443267521976,17.689865117096243,nan,nan,nan,nan
5200,650,2.7318104242537427,0.49052454506855714,5.1226666666666665,1.0,0.9353177890775441,0.8141546568415361,3.5,0.6091426267332418,0.7736519983060399,-0.6409878079062785,28.8985556631675,478.4424713579938,0.9827607032307424,0.9632663970569411,-2.7541967630386353,3.4668043851852417,nan,nan
