episode,timesteps,episode_return,episode_length,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,electrode_radius,theta,phi,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,action_abs_mean,action_std,train_actor_loss,train_critic_loss
1,80,2.862680987551528,10,3.0,0.8599258947880142,0.6423542159584816,-0.6333492926361352,1.0,0.0,0.0,nan,257.9931160595738,nan,nan,0.4881890966628887,0.5498223977905954,nan,nan
2,80,3.410321965507939,10,1.8,0.6585012159083367,0.39419546115232534,-0.6038312203847517,1.0,0.0,0.0,nan,208.5984089142346,nan,nan,0.48481909191302874,0.5652928731394076,nan,nan
3,80,-2.1067505251577314,10,2.8,0.6935057646458329,0.39241770471233256,-0.6168771488942296,1.0,0.0,0.0,nan,316.6785655448563,nan,nan,0.5808054996039024,0.6485036737331972,nan,nan
4,80,3.3471251901222683,10,2.3,0.754844425356375,0.5117163251861883,-0.6158628172553847,1.0,0.0,0.0,nan,257.27024216882955,nan,nan,0.48112785607165576,0.562028281412548,nan,nan
5,80,0.3486933795201597,10,1.4,0.555013565030856,0.26213256441357535,-0.5865817917767004,1.0,0.0,0.0,nan,210.70926567985597,nan,nan,0.45810447939369536,0.5445308534452058,nan,nan
6,80,5.9386940196687785,10,1.2,0.6173312411759023,0.38356152271095556,-0.590675899117904,1.0,0.0,0.0,nan,125.86385733776028,nan,nan,0.5169809397111288,0.5851071397755644,nan,nan
7,80,-1.1658986363738015,10,2.0,0.685972682734489,0.5059500522165312,-0.6068659530484208,1.0,0.0,0.0,nan,247.89472402713454,nan,nan,0.48343652592630537,0.5692344094923454,nan,nan
8,80,-0.127706615664537,10,1.2,0.5090990699495986,0.24848600450052993,-0.5783120970613018,1.0,0.0,0.0,nan,270.405740368009,nan,nan,0.495109516330613,0.5710460293266986,nan,nan
9,160,-1.4304158675940193,10,1.9,0.6364015796972623,0.3814711655916679,-0.6011865866365418,1.0,0.0,0.0,nan,187.43721071923727,nan,nan,0.534551455228181,0.6098780537288805,nan,nan
10,160,0.5572692263340723,10,1.8,0.5688571622308614,0.2649682454883735,-0.5957953632753797,1.0,0.0,0.0,nan,252.88958066590084,nan,nan,0.5031934914615972,0.5942736563734058,nan,nan
11,160,4.004545686720891,10,1.1,0.5757858760864454,0.37813893597281556,-0.5838658525888623,1.0,0.0,0.0,nan,153.474239507728,nan,nan,0.4474950976620896,0.5468393671832616,nan,nan
12,160,-4.089921569085103,10,2.3,0.6645855685592454,0.383303695823349,-0.6097458831036231,1.0,0.0,0.0,nan,274.54391630971554,nan,nan,0.4981704312963008,0.6010830347562389,nan,nan
13,160,6.021955998077612,10,2.4,0.8302694914768225,0.6459755761430725,-0.6230446893328985,1.0,0.0,0.0,nan,250.28075169582274,nan,nan,0.554345197614347,0.6260783555350161,nan,nan
14,160,-4.105490162599487,10,2.3,0.7134204643718681,0.514604906582095,-0.6105889136068914,1.0,0.0,0.0,nan,308.5060627417051,nan,nan,0.500620217424651,0.5574375896477964,nan,nan
15,160,3.864685903382259,10,2.7,0.8497351687161941,0.6464200893355605,-0.6263060205148404,1.0,0.0,0.0,nan,318.0134078376901,nan,nan,0.5336742460286613,0.581608620867764,nan,nan
16,160,-3.649187349427669,10,3.2,0.9546752856818941,0.7775419076289605,-0.6473244958442824,1.0,0.0,0.0,nan,310.7144517393522,nan,nan,0.4633054970777639,0.4401767652078265,nan,nan
17,240,-1.8921688343932996,10,2.3,0.7362563078075467,0.5172635872759981,-0.613334205171861,1.0,0.0,0.0,nan,267.779854492446,nan,nan,0.6161406180935117,0.6862548793854993,nan,nan
18,240,0.0036939161131022136,10,1.4,0.5327925247148314,0.25484823931313627,-0.5860326627991252,1.0,0.0,0.0,nan,237.85761666574814,nan,nan,0.4199951865523855,0.4832920070843109,nan,nan
19,240,-0.8700003509817027,10,1.7,0.5602403063522106,0.2565514511777775,-0.5909612653614666,1.0,0.0,0.0,nan,189.0748235561175,nan,nan,0.4944809118865411,0.5627009641104694,nan,nan
20,240,4.035244353246933,10,1.7,0.6807459414131343,0.5055361344691958,-0.6004627474420683,1.0,0.0,0.0,nan,196.1174619638901,nan,nan,0.4592334556958503,0.5436040798046954,nan,nan
21,240,0.7763781794645938,10,1.5,0.5143258112709532,0.2500487797924833,-0.5815581632783909,1.0,0.0,0.0,nan,188.26428375599556,nan,nan,0.5533168020692721,0.6271719132698497,nan,nan
22,240,1.6035888223496464,10,2.8,0.8318832583919701,0.650322786628957,-0.6270670960317675,1.0,0.0,0.0,nan,338.3271204349007,nan,nan,0.5452806935754788,0.6126842818131781,nan,nan
23,240,1.3656805553246323,10,1.2,0.46026417413697607,0.12791292231117152,-0.5760221731974103,1.0,0.0,0.0,nan,256.7804348189869,nan,nan,0.5902227805824449,0.6716563185336266,nan,nan
24,240,6.018998957384371,10,1.3,0.6031122536188744,0.3876108995509041,-0.5878255618499454,1.0,0.0,0.0,nan,158.544453430574,nan,nan,0.4115677943904036,0.4896579675509105,nan,nan
25,320,5.403268695366556,10,1.6,0.7696537878660057,0.6327730536313259,-0.6071496090117033,1.0,0.0,0.0,nan,206.0175505786067,nan,nan,0.40090321927469236,0.4847498344436324,nan,nan
26,320,-11.158983089442803,10,2.8,0.6928909615261789,0.39554076406496463,-0.6191896533707394,1.0,0.0,0.0,nan,292.1448575171843,nan,nan,0.5803149233730684,0.6534908671364812,nan,nan
27,320,3.098182080308824,10,1.9,0.6592374231329409,0.38627539509100617,-0.6054916425625007,1.0,0.0,0.0,nan,242.0397138449639,nan,nan,0.4964611206753813,0.5729777254608891,nan,nan
28,320,8.810174757061665,10,2.2,0.8782467759598911,0.7677880157204588,-0.6257961166317999,1.0,0.0,0.0,nan,205.7547182193655,nan,nan,0.5285466156179692,0.5909088040630655,nan,nan
29,320,2.125397632257274,10,1.7,0.8192248909032325,0.7485490006653434,-0.6093544382599824,1.0,0.0,0.0,nan,304.4733548557814,nan,nan,0.4701448424298335,0.5543432397877968,nan,nan
30,320,1.540117322012485,10,2.5,0.6925267492113285,0.3955632374535164,-0.6143175060818951,1.0,0.0,0.0,nan,337.67933450226894,nan,nan,0.5022517893262918,0.5876986224312819,nan,nan
31,320,-10.107518750023365,10,3.8,0.8977057549631523,0.6562804957685738,-0.646998252542703,1.0,0.0,0.0,nan,372.45293986187346,nan,nan,0.5317729452484589,0.5995357469317874,nan,nan
32,320,0.6676029916623338,10,2.7,0.8397439586850274,0.6429967664207922,-0.6255660947958519,1.0,0.0,0.0,nan,297.16022715580374,nan,nan,0.530919029325436,0.5906884526454902,nan,nan
33,400,6.265983357568697,10,2.4,0.7406254377993471,0.5212554441482744,-0.6144682747470843,1.0,0.0,0.0,nan,251.6248186445623,nan,nan,0.5390510407365804,0.6215610218138503,nan,nan
34,400,10.589585471111583,10,1.9,0.6406493055841125,0.3852921703403933,-0.6041195586710388,1.0,0.0,0.0,nan,219.74725522434747,nan,nan,0.540978777012233,0.5744927565994079,nan,nan
35,400,11.04932129402428,10,2.3,0.8301480873718724,0.6453954192357537,-0.6242507374744442,1.0,0.0,0.0,nan,175.2669822986177,nan,nan,0.4689527544876378,0.5504461138423619,nan,nan
36,400,7.923867544412082,10,2.0,0.8164258942768173,0.6505326216820655,-0.6153529422376389,1.0,0.0,0.0,nan,234.4044390937218,nan,nan,0.592073722253776,0.6449865137779724,nan,nan
37,400,4.818903462001498,10,2.3,0.7140352674915221,0.5056040857785206,-0.6094163348915007,1.0,0.0,0.0,nan,313.8308968947453,nan,nan,0.5548803117545866,0.6203834120414183,nan,nan
38,400,-5.47074154776795,10,2.2,0.5705723848899698,0.2574317519428055,-0.5980013777511345,1.0,0.0,0.0,nan,321.8804387140297,nan,nan,0.6305986036654191,0.6841089687374942,nan,nan
39,400,-1.4156601899708425,10,2.3,0.8301480873718724,0.6430545636004592,-0.6224413288086494,1.0,0.0,0.0,nan,261.1841264728999,nan,nan,0.436279944582581,0.49178134137396423,nan,nan
40,400,2.108451492178228,10,2.7,0.8354962327981772,0.6493362837038139,-0.6250529395299128,1.0,0.0,0.0,nan,285.50078707554263,nan,nan,0.5071885527211455,0.5777894576077872,nan,nan
41,480,1.4133792425861142,10,2.4,0.7327447891453005,0.5107549804505948,-0.6132860668004201,1.0,0.0,0.0,nan,321.8007201566744,nan,nan,0.48043151552970675,0.568252738857549,nan,nan
42,480,5.952451531788672,10,1.1,0.4861418224089699,0.24777367627060523,-0.5770238707214349,1.0,0.0,0.0,nan,144.66261073650656,nan,nan,0.4767684189324986,0.5050889374415338,nan,nan
43,480,0.4751568021499277,10,2.2,0.7397678264697929,0.5134740741128065,-0.6148288877536044,1.0,0.0,0.0,nan,310.179015402971,nan,nan,0.510361934699614,0.5621143333449549,nan,nan
44,480,-7.222700828840605,10,2.5,0.7635826853399758,0.5220558016893927,-0.6205615048030271,1.0,0.0,0.0,nan,318.1659181531939,nan,nan,0.5386187057547946,0.602731120294865,nan,nan
