timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,0.31067752787678926,6.163377967561717e-06,0.3638423903323466,1.0,0.5301094755417756,0.6181977798232381,0.0,0.0,-0.2974124865606267,-0.6558291723225148,18.15664726155071,299.98161351158353,0.4099642675226883,18.569023829409012,nan,nan,nan,nan
800,100,0.2199950994043443,0.0,0.3553379778050907,1.0,0.49684469206837645,0.576198521757258,0.0,0.0,-0.3929178372759895,-0.6377108769583648,10.458863822092903,260.1045993893703,0.4342281838913572,19.611719008654834,nan,nan,nan,nan
1200,150,0.17793826393677195,0.0,0.3623451453806951,1.0,0.5605939002595155,0.6301109239042433,0.0,0.0,-0.4372114550029268,-0.6339558092458204,10.414478316039133,180.69892129177254,0.5847460955652369,23.42468366059599,nan,nan,nan,nan
1600,200,0.30801908780441917,0.0,0.3635184928715268,1.0,0.4117572574427333,0.47759779157707777,0.0,0.0,-0.30021231510232294,-0.6627287801170372,14.71831119368068,245.5088799341311,0.5559011852262188,14.706517648717295,nan,nan,nan,nan
2000,250,0.26593739209814166,0.00019311968473405256,0.37678005374950346,1.0,0.48243663657865554,0.559191179418318,0.0,0.0,-0.34453211525353356,-0.6475584995259926,18.66526157938392,209.05837819270377,0.4139980643244058,17.422998158085882,nan,nan,nan,nan
2400,300,0.3095361945460167,0.0,0.36195182656268693,1.0,0.4875997804379343,0.5619816321472205,0.0,0.0,-0.2986145214186995,-0.6594463798517338,14.844090156788125,318.39819397030817,0.4718085232759535,16.82788054672958,nan,nan,nan,nan
2800,350,0.3026513647642609,2.3511746540010243e-06,0.3753912479724506,1.0,0.5131881316957768,0.5580502743014695,0.0,0.0,-0.30586551914779053,-0.6515616243429381,18.450629795238896,305.0842834583476,0.6033325418837594,13.246810799471294,nan,nan,nan,nan
3200,400,0.2714435665642042,0.0,0.37524858473860795,1.0,0.47551898935107273,0.546890946015539,0.0,0.0,-0.3387330962777563,-0.6523054078162553,11.716650704189405,251.23640013076857,0.43862109490566736,10.686692560288485,nan,nan,nan,nan
3600,450,0.3548627501159115,0.34645951305219985,0.367533618434386,1.0,0.46830322248667944,0.5345880001591858,0.0,0.0,-0.25087728434484247,-0.6441727467499154,12.969479928341958,243.83248175091418,0.8129321377720171,15.89352327224697,nan,nan,nan,nan
4000,500,0.31195659224780514,0.0013824457217835498,0.3705969925392007,1.0,0.4320776710435076,0.5086969834655409,0.0,0.0,-0.29606539547143607,-0.6479270058059021,15.235455039605359,218.40018670013285,0.5356780486949229,20.152897212077896,nan,nan,nan,nan
4400,550,0.17212389630222025,0.0,0.3587585268931034,1.0,0.47993054685043457,0.5732638035534376,0.0,0.0,-0.4433350583236589,-0.6389119257397643,16.227433262274157,268.4495235542755,0.32734779852642215,14.93420431589342,nan,nan,nan,nan
4800,600,0.18273026902404277,0.0,0.39309096408303634,1.0,0.4991929418170792,0.5578357207794965,0.0,0.0,-0.4321645883254572,-0.6478586495437781,17.465041737535742,200.11020375093779,0.49751225033143043,8.912290341603576,nan,nan,nan,nan
5200,650,0.34869438434589234,0.3309449823854496,0.36120371356729625,1.0,0.929520453686564,0.8140970128277789,0.0,0.0,-0.25737371310320245,-0.6721148427070489,28.560628263461766,485.13339064083993,0.9647689006943256,0.8293154602870345,-0.5031490176916122,0.06349558290094137,nan,nan
5600,700,0.5471305262556339,0.3315089959550462,1.8639999999999999,1.0,0.7352779824359459,0.4305014232793834,0.375,0.08066809366636638,0.042220177155217115,-0.6294441457799199,29.09162067345809,485.37261956516886,0.9596249189123045,14.779659262276255,-0.3947858437895775,0.07088650204241276,nan,nan
6000,750,0.5457387047573201,0.35483932944926083,1.8639999999999999,1.0,0.5413116392955999,0.48526930314556077,0.25,0.05290896886013559,-0.09957205918144355,-0.6650253470753262,16.4807756425337,484.6758512867382,0.8124625222521717,14.89173354813829,-0.4306633770465851,0.05263995984569192,nan,nan
6400,800,0.3602964573695971,0.3490545409810407,0.38919870623149905,1.0,0.35495708640610246,0.32578506321990186,0.0,0.0,-0.24515458673197976,-0.6819962350845596,17.255700429389254,402.9573088273537,0.7176569780020509,14.003301569027826,-0.45870058983564377,0.04187734262086451,nan,nan
6800,850,0.35890543537648995,0.3426326457329541,0.3858469531436318,1.0,0.3053255658305716,0.3235956086283398,0.0,0.0,-0.24661958988134788,-0.6708200393007712,17.497522662665,355.8787025103811,0.6111170066217891,12.595496086869389,-0.45400869846343994,0.04463271633721888,nan,nan
7200,900,0.35183302210253475,0.33903757904219445,0.35926043666349394,1.0,0.2887405541841872,0.3340868458692731,0.0,0.0,-0.25406814768368247,-0.6759307309550181,19.366689152523175,356.71779519179836,0.49690515818423586,12.943904092535377,-0.45306770503520966,0.038084509084001184,nan,nan
7600,950,0.44637380980667335,0.34696719684701993,1.1077417079060818,1.0,0.3450935023720376,0.3929042944671196,0.125,0.027759124806230783,-0.10590034368331167,-0.6533242133022052,17.841868062667782,348.83914049714804,0.6226005870191147,12.96127691923175,-0.4538705199956894,0.04410802526399493,nan,nan
8000,1000,0.35405217875807904,0.3351646794840768,0.3801622276815106,1.0,0.2814550689654425,0.31023180448065873,0.0,0.0,-0.25173096573729814,-0.6602612477204907,18.26404674970894,346.8351556221023,0.6147952694504055,13.907677566166967,-0.46824565529823303,0.046598277520388365,nan,nan
8400,1050,0.35552364245696455,0.33978913489748597,0.3717933407647421,1.0,0.3383620442618849,0.34549500717491455,0.0,0.0,-0.2501812426101799,-0.6822008637165813,19.79507684676675,353.03511323581915,0.5160716924862936,13.984698058920912,-0.45076488703489304,0.04385526664555073,nan,nan
8800,1100,0.3595973173510021,0.3375143185557585,0.4027099303941744,1.0,0.400251879444113,0.42990018314307815,0.0,0.0,-0.2458909103373335,-0.6550570738994519,13.766584522633348,377.9781477787765,0.7031171571751476,13.245657782536,-0.4390765428543091,0.03798062796704471,nan,nan
9200,1150,0.3453993683875136,0.33072011281528657,0.36381943218115637,1.0,0.2663803761533927,0.29455736357977225,0.0,0.0,-0.2608439736599464,-0.6707249690550425,17.480260629368715,294.977881538216,0.6612423247029073,14.745587719953619,-0.4453759342432022,0.0276181532535702,nan,nan
9600,1200,0.35816508148571863,0.3522213360591632,0.3702167168400971,1.0,0.3836524520011153,0.3790877264400881,0.0,0.0,-0.24739931930834574,-0.67041242384826,20.07950574360322,375.77642378164455,0.666164622590877,13.289560534176417,-0.45423076301813126,0.042769258841872215,nan,nan
10000,1250,0.36025807485501593,0.3273413711542714,0.41960815408334046,1.0,0.33006728830514476,0.3772227744591984,0.0,0.0,-0.2451950106109843,-0.6696607684754383,19.162982467557303,364.132433096529,0.5601990866902633,13.080229265615344,-0.456420361995697,0.03819347615353763,nan,nan
10400,1300,0.4680596230283904,0.34814385160060457,1.22,1.0,0.3378952678758651,0.42323140709322987,0.125,0.027759124806230783,-0.09907511531345353,-0.6809469597586519,18.357079199692237,391.6734281810932,0.49100125445285814,13.168371239444241,-0.43719471991062164,0.04178924858570099,nan,nan
10800,1350,0.4397874262364076,0.34367403836142296,1.0166105642383514,1.0,0.33994154775427887,0.43348067790981554,0.125,0.027759124806230783,-0.10788650249409835,-0.6530797345886418,16.57200549169909,367.3624273069436,0.5516339212066668,10.632591958274134,-0.4560488313436508,0.03732284752186388,nan,nan
11200,1400,0.3507525308871092,0.3298709573902522,0.3651544958007415,1.0,0.40555539797628626,0.45727852110766337,0.0,0.0,-0.255206104553744,-0.6598712689484882,20.33009245178895,356.2785192625597,0.6303179656298971,13.941715217661113,-0.4293355494737625,0.0279311565682292,nan,nan
11600,1450,0.3620792040345703,0.3322548838035452,0.3942639013695668,1.0,0.44620122012565844,0.48938484286700695,0.0,0.0,-0.243277025132197,-0.6402440597748458,14.475719825401903,357.73989802692086,0.7088893949461635,11.218674353440292,-0.44341183453798294,0.031176538672298193,nan,nan
