timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,0.31110100845884525,0.0,0.37659861478084716,1.0,0.5575877667343766,0.6248136298435152,0.0,0.0,-0.2969664832698934,-0.6387954134610322,19.806417669622075,645.1483165274133,0.5355540885728356,11.207747309984732,nan,nan,nan,nan
800,100,0.3258585672196741,0.0007261019464766909,0.42557156684159597,1.0,0.4396707402155213,0.49367020302234343,0.0,0.0,-0.28142404744304733,-0.6549996325529778,9.528574695444691,485.5571085402773,0.4608454879876277,12.324178527173537,nan,nan,nan,nan
1200,150,0.31093568681462613,0.0,0.3653859158028724,1.0,0.49241037981164654,0.5566902384056955,0.0,0.0,-0.29714059750434824,-0.6549478963412405,19.02222246935066,487.18011158080185,0.5612826031835657,16.72207990331835,nan,nan,nan,nan
1600,200,0.35404792296650234,0.3116766380393197,0.36884335723220807,1.0,0.4177576024420302,0.46330695487641543,0.0,0.0,-0.25173544787208374,-0.6560198911343256,12.306582992086096,719.6653307262877,0.5847934101320247,18.383037371934066,nan,nan,nan,nan
