timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,0.031354737264431574,0.001026571031276135,0.03824450529300607,1.0,0.48012638656067774,0.5545834575930544,0.0,0.0,-0.2943900098180178,-0.6708159619342489,19.730062346893057,214.97755860667192,0.5695606237108658,15.263303034307729,nan,nan,nan,nan
800,100,0.22665223803008844,0.0,1.6312002390831783,1.0,0.5002343756454946,0.5783985499775236,0.25,0.05290896886013559,-0.18808912103844982,-0.6375255460912331,11.696243945736859,236.14717946028594,0.5526065005158214,15.473749641235463,nan,nan,nan,nan
1200,150,0.1623520513921359,0.0,0.8300506250707416,1.0,0.4735402455370478,0.5555727081857926,0.25,0.055518249612461566,-0.00909992602892111,-0.6292795666703033,22.639023551108615,204.49363105591075,0.4449998356643417,15.290780907343061,nan,nan,nan,nan
1600,200,0.017442769292255737,0.0,0.03682516885319428,1.0,0.5752802025460931,0.6524088307780312,0.0,0.0,-0.440908734857156,-0.6443422330667398,14.192263655096946,229.65712793642004,0.564470063127325,16.3806830379838,nan,nan,nan,nan
2000,250,0.030243852481991323,0.0,0.03647345975096737,1.0,0.47310849427702795,0.5640002197411582,0.0,0.0,-0.30608967893126326,-0.6572422182182546,19.128356006959343,270.2555534802999,0.39427627598566084,17.318745220488353,nan,nan,nan,nan
2400,300,0.02747954368722048,0.0,0.03870838370657667,1.0,0.5760181246552522,0.62279279246762,0.0,0.0,-0.33520295758704743,-0.6296306901557767,14.907460729419846,258.2663784010839,0.5024350397988968,20.25166203339762,nan,nan,nan,nan
2800,350,0.022161754207442184,0.0,0.03692534069763492,1.0,0.4696823725182936,0.555088881906385,0.0,0.0,-0.3912091053989158,-0.6451344046662668,17.54145595252134,171.73675905783637,0.3725508292004757,14.66100779266634,nan,nan,nan,nan
