episode,timesteps,episode_return,episode_length,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,electrode_radius,theta,phi,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,action_abs_mean,action_std,train_actor_loss,train_critic_loss
1,80,10.290349069176383,10,1.9,0.6364015796972622,0.3850835241634779,-0.600973328258416,1.0,0.0,0.0,nan,205.29503249815966,nan,nan,0.550303988972942,0.624705165405613,nan,nan
2,80,10.865454712584489,10,2.3,0.780843477733319,0.6344892731048895,-0.6152254872534215,1.0,0.0,0.0,nan,310.7363363103248,nan,nan,0.5118092673352259,0.5593192376390541,nan,nan
3,80,12.277377967294573,10,1.8,0.6851150714049348,0.5051545899520111,-0.603069771274984,1.0,0.0,0.0,nan,244.42187806313274,nan,nan,0.5748573949563737,0.6358958296611035,nan,nan
4,80,12.70809346911735,10,1.9,0.6370163828169163,0.393136063281715,-0.5993891631981193,1.0,0.0,0.0,nan,249.0965266300262,nan,nan,0.5531938336665443,0.6068572164953384,nan,nan
5,80,11.467121675362488,10,2.4,0.7809648818382691,0.6395605009247498,-0.6161668647070202,1.0,0.0,0.0,nan,287.08690715394806,nan,nan,0.4766994077797445,0.552860554958255,nan,nan
6,80,13.104482558307783,10,2.0,0.7756167364119644,0.6324332099673432,-0.6097606699731664,1.0,0.0,0.0,nan,254.31176920427902,nan,nan,0.5519867089313094,0.6140541716482556,nan,nan
7,80,18.682453960551893,10,3.0,0.9358443599231656,0.7777290394700903,-0.6406928940806227,1.0,0.0,0.0,nan,288.5145599154101,nan,nan,0.4465949327045834,0.512928456549666,nan,nan
8,80,17.8800968173157,10,2.5,0.835253424588277,0.651809282330855,-0.6284295947682667,1.0,0.0,0.0,nan,225.8927647883079,nan,nan,0.5039365328098765,0.5687245406063325,nan,nan
9,160,16.214065161421793,10,2.3,0.8487362049207008,0.6475757750550473,-0.6253518370450869,1.0,0.0,0.0,nan,236.3987325530843,nan,nan,0.36827261647744647,0.44902254800532015,nan,nan
10,160,15.849309906593223,10,2.4,0.7598283584678293,0.5172771361103494,-0.6189308104319987,1.0,0.0,0.0,nan,227.87731012517574,nan,nan,0.6158416633937802,0.6676223158481721,nan,nan
11,160,10.934492212450646,10,2.2,0.7547230212514248,0.5194557739719803,-0.6171372994651684,1.0,0.0,0.0,nan,245.0170627726714,nan,nan,0.5214174310083655,0.5894923811583581,nan,nan
12,160,15.98711512550367,10,3.1,0.8408443782244819,0.6431775095465293,-0.6324435899476519,1.0,0.0,0.0,nan,302.3860131931091,nan,nan,0.4615112728657088,0.5670133220766693,nan,nan
13,160,13.666549535853568,10,2.4,0.7363777119124968,0.5157183821933352,-0.6140521984739803,1.0,0.0,0.0,nan,306.59596088947967,nan,nan,0.5833845359320087,0.6445115061730363,nan,nan
14,160,10.508838164703722,10,1.8,0.6326472528251158,0.3843070169108711,-0.5990182340696927,1.0,0.0,0.0,nan,248.68455719476992,nan,nan,0.49211596111487876,0.5554472480568592,nan,nan
15,160,10.413127103057096,10,2.1,0.6860940868394391,0.504464387756518,-0.6048306515445083,1.0,0.0,0.0,nan,259.7278645282947,nan,nan,0.4686688142445135,0.5694857067379773,nan,nan
16,160,13.83730213473174,10,2.6,0.6884004274294284,0.39774619183385457,-0.6132147955590976,1.0,0.0,0.0,nan,250.872438636399,nan,nan,0.49469534653525116,0.5853726900091341,nan,nan
17,240,12.537096580491358,10,2.1,0.5710657839046736,0.2549427243512127,-0.5981018837233829,1.0,0.0,0.0,nan,276.5715061898282,nan,nan,0.5737888655715933,0.6351738769897233,nan,nan
18,240,13.178345428906953,10,2.0,0.7570286188631361,0.6373219826514018,-0.6115285213565836,1.0,0.0,0.0,nan,197.24720417811983,nan,nan,0.46766560822598346,0.5424611693130647,nan,nan
19,240,12.043347095208489,10,2.8,0.8140113997067567,0.6487591440936169,-0.6293388175725737,1.0,0.0,0.0,nan,289.3201083516494,nan,nan,0.48663853862841233,0.5545172807372599,nan,nan
20,240,10.570803375183907,10,1.8,0.6091966062697832,0.37647942729355954,-0.5927931377612299,1.0,0.0,0.0,nan,192.0223549792135,nan,nan,0.4982959872760926,0.5784598416331576,nan,nan
21,240,9.050624391566235,10,1.9,0.5610979176817648,0.25362006795473996,-0.5937577684678557,1.0,0.0,0.0,nan,208.35696533386718,nan,nan,0.5577901607547078,0.6202629321346539,nan,nan
22,240,15.340814078716136,10,3.0,0.9309818309166612,0.7666975603172193,-0.6410120636697448,1.0,0.0,0.0,nan,345.06863375035454,nan,nan,0.5040002987264611,0.5983809152902626,nan,nan
23,240,13.311646202210952,10,3.0,0.7702818411105385,0.5224112151441416,-0.6267418934158675,1.0,0.0,0.0,nan,322.57213863674735,nan,nan,0.48251070026724074,0.5404643808491333,nan,nan
24,240,9.226628232223916,10,1.8,0.703703188953763,0.5085422591791238,-0.6041427988155317,1.0,0.0,0.0,nan,262.8909232115763,nan,nan,0.5732350716272179,0.6403054534274684,nan,nan
25,320,12.830232104002235,10,2.6,0.8848245276255037,0.7728498099783404,-0.6326394382780298,1.0,0.0,0.0,nan,343.6961396559759,nan,nan,0.5348166194177042,0.5868604382928325,nan,nan
26,320,13.17611990970063,10,2.1,0.7095447333947715,0.509742261505389,-0.6080577574407579,1.0,0.0,0.0,nan,276.1644910562846,nan,nan,0.5377123169746103,0.6093256588700813,nan,nan
27,320,16.883694155061743,10,2.8,0.9022229356570023,0.7706521301636557,-0.6284559654029828,1.0,0.0,0.0,nan,319.7292268283074,nan,nan,0.47736826979516833,0.5492489789057172,nan,nan
28,320,9.154196533752716,10,1.7,0.5602403063522106,0.2598413531928369,-0.5929921710047149,1.0,0.0,0.0,nan,267.91889876700816,nan,nan,0.5027021762841988,0.5871407316678511,nan,nan
29,320,14.348189783677475,10,2.6,0.8390077514604233,0.6485459468514456,-0.6265260101609619,1.0,0.0,0.0,nan,301.6069775610464,nan,nan,0.4395795476285316,0.5165978857213468,nan,nan
30,320,13.405199031651826,10,1.8,0.7711262023152139,0.6317577179837487,-0.6090338658370453,1.0,0.0,0.0,nan,251.25994495556284,nan,nan,0.5013246933277714,0.5650034105977922,nan,nan
31,320,10.537846963419055,10,1.6,0.6311748383759076,0.38477688627283874,-0.5959114272479942,1.0,0.0,0.0,nan,194.70036767597753,nan,nan,0.505096386973642,0.5930314412075751,nan,nan
32,320,10.64859440941096,10,2.2,0.7318871778157462,0.5157787693641396,-0.6115888865239502,1.0,0.0,0.0,nan,258.6731013441819,nan,nan,0.4374511335377684,0.5223738180994019,nan,nan
33,400,16.51591362338746,10,2.7,0.8090274665953023,0.6400542996129557,-0.6213269437353369,1.0,0.0,0.0,nan,243.74790328425152,nan,nan,0.40709032734381284,0.4953284529326572,nan,nan
34,400,10.976915395979214,10,2.0,0.6636065531247411,0.3895908156160351,-0.6063949033205469,1.0,0.0,0.0,nan,225.5347280027463,nan,nan,0.45015956014073444,0.5414471596464029,nan,nan
35,400,12.008918274043676,10,1.7,0.7926110354066342,0.644544694167208,-0.6109720760554869,1.0,0.0,0.0,nan,217.10282854903335,nan,nan,0.378063035966006,0.4576009517300853,nan,nan
36,400,14.294402364799081,10,2.5,0.6919119460916745,0.39488010689769054,-0.6132876000155822,1.0,0.0,0.0,nan,292.5918296781244,nan,nan,0.48427651083914053,0.5644742836677111,nan,nan
37,400,12.045743707397403,10,2.4,0.6653217757838495,0.39139493069510956,-0.6080428614482435,1.0,0.0,0.0,nan,280.2717986930039,nan,nan,0.5428637612698093,0.6159409210526182,nan,nan
38,400,14.72302305036028,10,2.3,0.781458280852973,0.6398407281805728,-0.6198934651612193,1.0,0.0,0.0,nan,242.28685124971838,nan,nan,0.5406808363420412,0.5986567785714308,nan,nan
39,400,17.340315342116675,10,3.3,0.8916214023122435,0.653196383982825,-0.6418334909443272,1.0,0.0,0.0,nan,323.0115477933033,nan,nan,0.5430653719807118,0.610130341679904,nan,nan
40,400,14.426544596789736,10,2.1,0.8028217098394433,0.6421077155544765,-0.6178559070012151,1.0,0.0,0.0,nan,217.3161886443085,nan,nan,0.4379727713052433,0.5155421659947687,nan,nan
41,480,11.473892675123036,10,2.1,0.6415069169136667,0.38140223438385573,-0.6036285406438211,1.0,0.0,0.0,nan,248.06755237493516,nan,nan,0.566228993407565,0.6182670076673618,nan,nan
42,480,13.527948070981367,10,2.2,0.7843549963955652,0.634420466718881,-0.6112810046136745,1.0,0.0,0.0,nan,291.4506017559456,nan,nan,0.48876027185793414,0.5650909131025501,nan,nan
43,480,9.611817772082121,10,1.7,0.635543968367708,0.3864823596333144,-0.5974452785356503,1.0,0.0,0.0,nan,228.1082373292934,nan,nan,0.4432006654591705,0.5401932080635207,nan,nan
44,480,12.497396322124517,10,2.0,0.6371377869218663,0.38053231114714703,-0.5995144862340005,1.0,0.0,0.0,nan,237.24093519097437,nan,nan,0.4800689150324445,0.5413593621169941,nan,nan
45,480,14.57598051668543,10,2.7,0.7686880225563802,0.5188073899112894,-0.6236139008663445,1.0,0.0,0.0,nan,269.94804818021214,nan,nan,0.4649079026902645,0.5367358062129879,nan,nan
46,480,10.240672843089929,10,2.4,0.7363777119124968,0.5225391326947838,-0.6149330491708757,1.0,0.0,0.0,nan,280.6160996060419,nan,nan,0.5548744261880094,0.6201239276169835,nan,nan
47,480,11.938698784379632,10,2.7,0.6704470613612432,0.3886777191456397,-0.6111411326931253,1.0,0.0,0.0,nan,258.7287521565255,nan,nan,0.5081247986000939,0.5867974621682008,nan,nan
48,480,14.334881611754627,10,2.4,0.8345172173636728,0.643316866971718,-0.6234371962375219,1.0,0.0,0.0,nan,319.89764582345305,nan,nan,0.5221823286728303,0.5775407205813039,nan,nan
49,560,17.48474381250817,10,3.6,0.9413338578154095,0.7745913244220527,-0.6465559100200114,1.0,0.0,0.0,nan,359.88821348788275,nan,nan,0.5733321931804676,0.6220928876805643,nan,nan
50,560,13.491945397309113,10,1.9,0.7302933592615879,0.5195812951377545,-0.6102692419772543,1.0,0.0,0.0,nan,210.55502088939937,nan,nan,0.5138726600773045,0.5920397082408132,nan,nan
51,560,10.68214615693445,10,2.1,0.660095034462495,0.3867735241489371,-0.6044423773345262,1.0,0.0,0.0,nan,246.5368336474654,nan,nan,0.4566499228982589,0.5381649222336267,nan,nan
52,560,15.207911472775857,10,2.7,0.8806982058436036,0.7635218497013323,-0.6306786823806385,1.0,0.0,0.0,nan,291.59921548163857,nan,nan,0.45062065247762584,0.5173870395723331,nan,nan
53,560,8.202095347524034,10,1.1,0.4818940965221197,0.2455740177060978,-0.5762781837666691,1.0,0.0,0.0,nan,193.78796231268421,nan,nan,0.5739241693021346,0.6281373211919913,nan,nan
54,560,14.597274038669875,10,2.2,0.8257789573800721,0.6459539019956566,-0.6218528204919598,1.0,0.0,0.0,nan,233.0067207302518,nan,nan,0.4266212313462308,0.497800146361822,nan,nan
55,560,14.693158443240064,10,2.6,0.7414830491289013,0.516521800148557,-0.6144338304307306,1.0,0.0,0.0,nan,248.11631071927695,nan,nan,0.40892516951828944,0.5035999866548202,nan,nan
56,560,11.255378648909552,10,2.0,0.6821946706735694,0.3972902330733213,-0.6087599668674688,1.0,0.0,0.0,nan,222.07817182810726,nan,nan,0.5036330809955326,0.5834657537714076,nan,nan
57,640,15.550550014156071,10,3.0,0.8635588175552102,0.6496371602715927,-0.6366163882232202,1.0,0.0,0.0,nan,292.9959802583272,nan,nan,0.5729789645935671,0.6498270933361939,nan,nan
58,640,7.848851222843955,10,1.1,0.48614182240897,0.2480576839002568,-0.5802607700102977,1.0,0.0,0.0,nan,149.5497211937223,nan,nan,0.48747634057377176,0.5645910366168168,nan,nan
