timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,electrode_radius_mean,theta_mean,phi_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,0.08584916804148272,-0.8166666666666669,0.8168275067586495,1.0,0.5331863471404381,0.5797211154495796,0.5,0.2979170970004782,0.14645296702169172,-0.6221052759869338,19.246527900741892,574.5935929181896,0.4349404817077116,18.39998867030412,0.4717304800352304,3.4528049809238412,1.7947726603091332,nan,nan,nan,nan
800,100,0.08898545266555186,0.03101840740042567,0.46278713737030786,1.0,0.41639829013953433,0.48997647778621267,0.25,0.11843673861734993,-0.10024360426027203,-0.6330215567135755,20.072142367008276,391.7629458871124,0.573190361145625,15.535574631875656,0.5382264683722153,3.318961580099619,1.8318675082238536,nan,nan,nan,nan
1200,150,0.158398380136693,-0.9268832779911103,1.980441941221725,1.0,0.5429231878132619,0.5882361802844538,0.5,0.23687347723469987,0.05590782247015805,-0.6707074449955173,12.405075408590491,374.08753553355257,0.4417762708216684,11.08164610691836,0.49182147718059754,2.7113354780806964,1.384235115114858,nan,nan,nan,nan
1600,200,0.018774948556590326,-0.9223183954811969,0.9148858786068436,1.0,0.4671524402610395,0.5353583025394265,0.25,0.17948035838312823,-0.025149612931350762,-0.6540003581527013,17.920280349241626,449.2172948928801,0.454093856396139,12.59474525443396,0.5205707865519836,4.326053905101402,1.582853990120525,nan,nan,nan,nan
2000,250,0.15308478656459518,0.0,0.5604707530028737,1.0,0.5198175336447107,0.5981323283045124,0.5,0.2979170970004782,0.10793432700437357,-0.6465706801306045,12.432344406711646,486.58161883553913,0.7106019316480134,15.610487661936121,0.5048984469379607,3.3693832359776574,1.3876904984691358,nan,nan,nan,nan
2400,300,0.17259512361290613,0.02101116294675735,1.1525427439965386,1.0,0.48119353136695414,0.533370511485076,0.25,0.11843673861734993,-0.12743857718285273,-0.6709989153111178,13.610966367375074,453.2926858580597,0.6394754389630376,12.957212443361769,0.45585495991370295,3.379182301721347,1.2568057259939538,nan,nan,nan,nan
2800,350,0.5291274311236789,-0.3393145617678013,3.443720470729229,1.0,0.5419074940458685,0.6231762020639222,0.875,0.30445052365217146,0.15029990920111225,-0.6487695813142902,12.558896357277874,451.19078207731627,0.5239143312421599,15.821107797615452,0.4835874451358988,2.2647763584289144,1.1047645854310593,nan,nan,nan,nan
3200,400,-0.3644462772205959,-2.2071404344058805,0.6892872206343685,1.0,0.4404819165717262,0.5420435946434821,0.375,0.26922053757469233,0.20544564053009606,-0.6764218017899285,17.124185398638637,488.49072397573855,0.5367070180917771,13.844549043953545,0.5033905125162227,2.981335952578018,1.5979015872124578,nan,nan,nan,nan
3600,450,-0.15470907614514684,-0.8019617112835993,0.037300114995426736,1.0,0.4991384950995008,0.5519008383674068,0.25,0.17948035838312823,0.03791320845735807,-0.6552542963700063,17.63887828129559,450.5849273584108,0.6453383126221798,19.60875448809592,0.5217310319215769,2.498799895167289,1.6971759054687294,nan,nan,nan,nan
4000,500,-0.28905421193239833,-2.4815598201953697,0.037717818237122946,1.0,0.5915734576713456,0.6809808911079093,0.25,0.11843673861734993,-0.2031411555379492,-0.6590403543438841,15.855531051073795,555.447373008871,0.5455989853095304,12.007105341028403,0.5162907367490536,3.209888230409881,1.2027817384938793,nan,nan,nan,nan
4400,550,-0.044721186868744406,-0.5279501024063966,0.06422112000457214,1.0,0.4816391426274629,0.5484345569575014,0.375,0.26922053757469233,0.20122590436021154,-0.6547756825620484,17.960618698674416,486.8679790589796,0.5684346328458036,15.987217836749412,0.49473020710629056,3.2888767012428186,1.370016467016904,nan,nan,nan,nan
4800,600,-0.9944762339922176,-5.217560531549514,1.73827442653997,1.0,0.506797016346282,0.5812670270829009,1.0,0.5347905742351781,0.4785893633246389,-0.6428697954660649,20.016756361787007,693.8305521983174,0.5066633841999997,12.413976792400394,0.4827537113921109,3.6967204022192566,1.7969462874292832,nan,nan,nan,nan
