timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,0.17759821418435434,0.17381832302349895,0.1837403502635822,1.0,0.5356520504999507,0.5819500995935495,0.0,0.0,-0.2505258594977546,-0.6618340216438355,11.74493918116786,236.06424081883878,0.4890161201154456,15.789411831044413,nan,nan,nan,nan
800,100,0.13546345918520647,0.0,0.18604666825051952,1.0,0.5700348642720103,0.6356127160429718,0.0,0.0,-0.3392772222763171,-0.6633381557944764,11.269413619717918,355.8236600827754,0.5497678969434936,13.935767643769001,nan,nan,nan,nan
1200,150,0.11373724672144372,0.0,0.1898412376099386,1.0,0.5536184136307023,0.6215253269344241,0.0,0.0,-0.3850406535390486,-0.6467085563710421,9.794725346010232,292.7029764408418,0.5034817415769397,19.65449799724716,nan,nan,nan,nan
1600,200,0.06662095870840097,0.0,0.18401182407798491,1.0,0.5813682965931234,0.6352192847603333,0.0,0.0,-0.4842849655164022,-0.6342417957047829,14.300383400718935,187.68215166261479,0.5608910623235921,11.943283014507273,nan,nan,nan,nan
2000,250,0.13184417056563533,0.0,0.1836691842194241,1.0,0.5337079511078552,0.5965943376961134,0.0,0.0,-0.3469007814327043,-0.6454044255475899,12.103841745891884,282.3682829911552,0.4293891025155815,19.582658886086843,nan,nan,nan,nan
2400,300,0.13442380402481163,0.0,0.1915031036218785,1.0,0.414699310472249,0.49487277443588307,0.0,0.0,-0.34146712019566355,-0.6481630363615881,10.230787617632995,270.06690117826633,0.43805346857178024,15.758645671487864,nan,nan,nan,nan
2800,350,0.06787520551513766,0.0,0.1825350349804953,1.0,0.5328686393351628,0.6147290989948259,0.0,0.0,-0.4816430582984585,-0.6447756647871203,17.006721338832165,262.435393709414,0.5168196295660509,19.099989457892733,nan,nan,nan,nan
3200,400,0.11023041513576849,0.0,0.17801327272348955,1.0,0.5212003888881893,0.5921789492065469,0.0,0.0,-0.39242733662928786,-0.6443460808696978,15.9484645303531,198.58659021644857,0.6077681343986778,14.613387445081496,nan,nan,nan,nan
3600,450,0.13463061774778703,0.002718764015132134,0.18436948458403823,1.0,0.4755347806748147,0.5471974802913944,0.0,0.0,-0.34103149407761096,-0.6428031524857402,21.573288077494553,142.3326497622778,0.5644514503352293,12.662531554443001,nan,nan,nan,nan
4000,500,0.08850373137126556,0.0,0.17726592079714604,1.0,0.5421215643247466,0.6138134644739968,0.0,0.0,-0.43819176062552334,-0.6468273240618116,18.25030219063662,147.02987168731755,0.540343220415004,11.523954082558543,nan,nan,nan,nan
