episode,timesteps,episode_return,episode_length,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,electrode_radius,theta,phi,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,action_abs_mean,action_std,train_actor_loss,train_critic_loss
1,80,7.758768967305335,10,1.3,0.513468199941399,0.2495550786000454,-0.5846792490432736,1.0,0.0,0.0,nan,233.59430816158428,nan,nan,0.5690730737465126,0.6489990379505596,nan,nan
2,80,11.838150487208477,10,1.8,0.6320324497054619,0.3890779221459266,-0.5974424382663629,1.0,0.0,0.0,nan,241.1727416407714,nan,nan,0.4520279942360423,0.5190406564585849,nan,nan
3,80,12.8361912760301,10,1.9,0.632052398066451,0.3884192629442738,-0.5978291166501316,1.0,0.0,0.0,nan,270.66521967242323,nan,nan,0.5190496590757355,0.5831608685980626,nan,nan
4,80,11.400212259050505,10,2.4,0.7135418684768181,0.5085785010682037,-0.6120452941456692,1.0,0.0,0.0,nan,251.75796191670406,nan,nan,0.48038648541357565,0.5658026954204358,nan,nan
5,80,11.897206447030598,10,1.7,0.6843788641803306,0.5124059183558147,-0.6024110305842788,1.0,0.0,0.0,nan,165.80332641256388,nan,nan,0.4998864711165954,0.588990122352509,nan,nan
6,80,11.58176934434901,10,2.0,0.6551111013510406,0.3872670890503027,-0.6029800045810759,1.0,0.0,0.0,nan,264.36432116114645,nan,nan,0.5192995454951832,0.5773882644124304,nan,nan
7,80,10.739326647168086,10,2.1,0.7799858664037649,0.6421577892429229,-0.6150549965167036,1.0,0.0,0.0,nan,263.6169762281979,nan,nan,0.47569461190610174,0.5691079404575284,nan,nan
8,80,15.975504413717005,10,2.8,0.7873975442101587,0.5225587691694981,-0.6264510834380645,1.0,0.0,0.0,nan,273.6531415152955,nan,nan,0.44851079033294505,0.5197068446161329,nan,nan
9,160,13.364270121950192,10,2.4,0.7412402409190011,0.5143968837518986,-0.618978095330903,1.0,0.0,0.0,nan,311.9630847848424,nan,nan,0.4372236505432136,0.5058118175090723,nan,nan
10,160,15.092699558716074,10,2.1,0.7539868140268207,0.5175161802105971,-0.6109642044842133,1.0,0.0,0.0,nan,250.32831414677543,nan,nan,0.4153314092181521,0.4512247503008019,nan,nan
11,160,16.291542727936474,10,2.7,0.8354962327981772,0.6406139388071217,-0.6285753519146773,1.0,0.0,0.0,nan,272.21571038965055,nan,nan,0.562657113973326,0.6315112967736046,nan,nan
12,160,11.84518008454714,10,1.7,0.6987192558423085,0.5037682679994653,-0.6034597156649447,1.0,0.0,0.0,nan,185.72224005349213,nan,nan,0.48080209728058454,0.5452083580365281,nan,nan
13,160,14.727474872703167,10,2.9,0.8627211545866453,0.6513980443342842,-0.6326590003992271,1.0,0.0,0.0,nan,299.1455838846013,nan,nan,0.5662044985705258,0.657617093203139,nan,nan
14,160,15.177281263443112,10,2.5,0.8316205018210807,0.6455359072264389,-0.6249619565122639,1.0,0.0,0.0,nan,260.22239961033233,nan,nan,0.45882209590950557,0.5286713256103845,nan,nan
15,160,11.340366628833543,10,2.0,0.6407707096890627,0.3871201581825614,-0.6030694401780876,1.0,0.0,0.0,nan,192.92519265591562,nan,nan,0.552102046651293,0.6327264037099132,nan,nan
16,160,8.173468640856731,10,1.4,0.5099566812791528,0.24938913431568946,-0.5841379999688321,1.0,0.0,0.0,nan,162.3967933185053,nan,nan,0.5273675688157924,0.606965729569222,nan,nan
17,240,12.200180760030152,10,2.1,0.6415069169136667,0.38621544251500745,-0.6028732293996357,1.0,0.0,0.0,nan,263.6353423780921,nan,nan,0.49234176286816256,0.5723996071611894,nan,nan
18,240,8.177491937886558,10,1.7,0.538019266036186,0.2488069347996665,-0.589040464830162,1.0,0.0,0.0,nan,232.12280430474502,nan,nan,0.5376673105233059,0.6176054937622081,nan,nan
19,240,12.937109296069787,10,1.9,0.6549896972460905,0.3885158017722279,-0.6012243831760344,1.0,0.0,0.0,nan,224.148864141501,nan,nan,0.46659042950594226,0.5558655844771407,nan,nan
20,240,15.106590901187873,10,2.6,0.8317419059260306,0.6448073860336991,-0.6248633881054233,1.0,0.0,0.0,nan,314.2116411909312,nan,nan,0.5057436591023228,0.600924328150393,nan,nan
21,240,15.579504361677937,10,2.0,0.8020855026148392,0.6403487767588657,-0.6159417916366487,1.0,0.0,0.0,nan,211.28416330554052,nan,nan,0.48744558343866284,0.5677983189896348,nan,nan
22,240,12.387173573796511,10,2.6,0.8805768017386534,0.7682657954919399,-0.6328655030345545,1.0,0.0,0.0,nan,317.680023809276,nan,nan,0.5372683555692835,0.5923466576656715,nan,nan
23,240,13.917947912306337,10,2.8,0.9079031792710825,0.7598725195588462,-0.6367658152677225,1.0,0.0,0.0,nan,306.1804445407971,nan,nan,0.466824358627379,0.5371615498022714,nan,nan
24,240,12.774631682553489,10,1.9,0.6556045003657445,0.391295423047886,-0.6024699414808918,1.0,0.0,0.0,nan,187.2239008009825,nan,nan,0.524518590056412,0.6049623195870352,nan,nan
25,320,8.857858602131191,10,2.0,0.6413855128087166,0.3823408052453329,-0.6019327239685829,1.0,0.0,0.0,nan,250.66066519990432,nan,nan,0.5053560278218179,0.5780236387677934,nan,nan
26,320,9.388948988587597,10,1.2,0.5801550060782458,0.3723128552941589,-0.5848894471723828,1.0,0.0,0.0,nan,187.22341385600936,nan,nan,0.5053035850123581,0.5924033492825712,nan,nan
27,320,12.29170600914538,10,2.0,0.7798644622988147,0.636469517754682,-0.611876007382064,1.0,0.0,0.0,nan,254.3300274579533,nan,nan,0.514671492230571,0.5981014362928535,nan,nan
28,320,12.808452136637781,10,1.6,0.6533958786919322,0.39184910126542505,-0.5975452921331879,1.0,0.0,0.0,nan,167.46566818960432,nan,nan,0.4746350160242285,0.5180963274641961,nan,nan
29,320,13.954068521735328,10,2.7,0.7373567273470011,0.5100562245635479,-0.6168810306222008,1.0,0.0,0.0,nan,264.60328416551386,nan,nan,0.569631038367184,0.6206700767438496,nan,nan
30,320,16.29673800205159,10,2.8,0.7916452700970089,0.5241526562020347,-0.6264602021079045,1.0,0.0,0.0,nan,294.64952060740694,nan,nan,0.471467181712174,0.5481123453692369,nan,nan
31,320,15.731431212030596,10,2.6,0.7600711666777296,0.5093284763252258,-0.6220394090509895,1.0,0.0,0.0,nan,216.03521353727902,nan,nan,0.584533886022955,0.6431362525991066,nan,nan
32,320,10.345754363692086,10,2.0,0.686587485854143,0.5104207836855085,-0.6088835593571432,1.0,0.0,0.0,nan,247.68695413012492,nan,nan,0.46547333677303504,0.5390232632388414,nan,nan
33,400,11.177457934718348,10,1.7,0.6319110456005117,0.3832868300734127,-0.5956223764124823,1.0,0.0,0.0,nan,208.18673579900238,nan,nan,0.43947611088409533,0.5191683680188448,nan,nan
34,400,13.351974386269244,10,1.7,0.6993340589619625,0.5086132945281345,-0.6040453749618392,1.0,0.0,0.0,nan,210.08111928101349,nan,nan,0.4584993253357757,0.5428435163897707,nan,nan
35,400,8.257093921847986,10,1.7,0.49706501887760995,0.14020455836345608,-0.5883656403228249,1.0,0.0,0.0,nan,273.32782506641007,nan,nan,0.43734355821324444,0.5310585721502029,nan,nan
