timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,electrode_radius_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,0.21166537329855756,0.03345747074668714,1.257758287565548,1.0,0.5373631320412119,0.5873708174565874,0.5,0.23687347723469987,0.048927012673653375,-0.6430265313124377,10.675137904089167,529.5067790966253,0.2222349453045965,14.201430266715686,0.48654660511499637,nan,nan,nan,nan
800,100,0.1721360128264591,0.021546789843256427,1.1406130227525033,1.0,0.4813191871952289,0.5467717525250285,0.25,0.11843673861734993,-0.12188011328944162,-0.6722225230392593,14.951452402420408,427.5856314507738,0.5093469804393216,17.05111497524757,0.4701065416701283,nan,nan,nan,nan
1200,150,-0.21175765176875014,-1.8894992243412574,0.03608444303889722,1.0,0.5727900734769688,0.6533017470865085,0.5,0.12481841013785558,-0.16665586262664836,-0.641293558167457,17.115299315448407,439.91238012687063,0.4455001443680726,14.060631735943794,0.5050961430407396,nan,nan,nan,nan
1600,200,0.20076929230608592,0.002087603966216036,0.8415877743991329,1.0,0.5344149050486946,0.5893697391155279,0.25,0.17948035838312823,-0.009833388226547016,-0.6481487061276852,21.378947549920092,500.95470756756526,0.5339654511651992,19.026086510794446,0.49629541741621674,nan,nan,nan,nan
2000,250,0.05598954840762157,0.023631570657916025,0.19916440653164025,1.0,0.5271708747644172,0.5932571304384266,0.25,0.17948035838312823,0.04125030617875616,-0.6350613221835819,16.029897282358213,527.2396857865259,0.6107375082612863,17.803694267425556,0.4560536874914175,nan,nan,nan,nan
2400,300,0.1372650447506022,-0.5962748816922998,1.0929901820817303,1.0,0.4911969413337789,0.5871355294319855,0.75,0.4163538356178281,0.20786935866502323,-0.6318243782983123,17.409219254617202,343.86649837218715,0.5636287167302965,14.833599051896783,0.49856641330884877,nan,nan,nan,nan
2800,350,-0.36838203384563506,-3.8949731101070157,1.5678247675361887,1.0,0.49998431677183475,0.5627746604524093,0.75,0.4163538356178281,0.313578497317432,-0.6549422188349944,13.190202672108668,456.51809162018,0.653135161032735,11.840858421224542,0.5071156415845307,nan,nan,nan,nan
3200,400,-0.400703599922471,-2.751124943658446,0.03897934410087888,1.0,0.5112145398226018,0.59018010509483,0.625,0.24233488972445036,-0.0017015844264075125,-0.6288983262849464,11.174752315971295,539.3501588141951,0.6366061715695894,16.707570418311647,0.5351734245012979,nan,nan,nan,nan
3600,450,0.3624981984615073,0.0,1.5356371380698997,1.0,0.4372842608219834,0.5454206791092647,0.5,0.2979170970004782,0.13036602111807466,-0.6406740432533915,14.740505519714283,491.2312598949344,0.6391188075808552,13.703008962393838,0.4925870072693851,nan,nan,nan,nan
4000,500,-0.7348976806310403,-6.113333333333333,0.041643041065065826,1.0,0.5789966104096109,0.6454299957186885,0.125,0.08974017919156412,-0.11852315523143252,-0.6430009948923101,18.297042745937922,493.18435454178393,0.5945537353255936,15.018416401082737,0.4953289878382285,nan,nan,nan,nan
4400,550,0.08085858562616872,-1.298679608742856,0.7080395006142471,1.0,0.564168199421803,0.6355042001347314,0.875,0.3940389477125479,0.2915884291513813,-0.6214079092829911,16.20457919014382,615.9704171912098,0.48539614828502997,14.675366469545382,0.5240048547032546,nan,nan,nan,nan
4800,600,0.09088927838113307,0.0,0.5194064466391815,1.0,0.5527930615048118,0.6336279382324391,0.25,0.11843673861734993,-0.15841412422593465,-0.6285543730736824,13.024200738299008,614.0311883558181,0.45778230243952356,14.675712261340575,0.4956771004027427,nan,nan,nan,nan
5200,650,6.138281268027392e-05,0.0,0.0004910625014421914,1.0,0.9310272476504906,0.8069050420030608,0.0,0.0,-0.6239668465127717,-0.6245465157973169,1.3737223379725763,18.30915582831949,0.04284520787652582,28.770395927131176,0.509750715264607,-0.39746029675006866,0.7805677093565464,nan,nan
5600,700,0.02251311866892105,0.0,0.03767704755525402,1.0,0.7541159589382005,0.536488471581676,0.0,0.0,-0.3875085884754359,-0.6463996070204217,1.0711165396019349,647.3694470478222,0.03208064592443406,2.4435450295277406,0.4940746148415691,-0.38109003752470016,0.6845230981707573,nan,nan
6000,750,0.10486985550333305,0.0,0.7693752238235712,1.0,0.8405381267839402,0.6459522325488916,0.125,0.08974017919156412,-0.34435027308905836,-0.6450479178569433,0.37684815762448126,756.2605730636278,0.036382110639751775,1.0891012055799365,0.46027088667482546,-0.3995377644896507,0.5393277369439602,nan,nan
6400,800,0.02743498882376938,0.0,0.03741317421536356,1.0,0.807775466102612,0.5955934542291607,0.0,0.0,-0.33567220261407776,-0.6418560574234178,1.3871066895117834,708.316876203753,0.041785806687548756,0.44220617855899036,0.4712382022364773,-0.37778065353631973,0.4716884046792984,nan,nan
