episode,timesteps,episode_return,episode_length,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,electrode_radius,theta,phi,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,action_abs_mean,action_std,train_actor_loss,train_critic_loss
1,80,5.897332731364163,10,1.6,0.788241905414834,0.644694338294884,-0.6269895926577318,1.0,0.0,0.0,nan,253.12134090509102,nan,16.305082230526725,0.4512791819216278,0.5583454016833732,nan,nan
2,80,9.051496511646684,10,1.5,0.7652846578742053,0.6411784789517718,-0.6148229813787114,1.0,0.0,0.0,nan,193.95988282503112,nan,11.145713097274676,0.4969587114254864,0.5456188959299106,nan,nan
3,80,4.902134151278654,10,2.0,0.798452579847643,0.6338218996641349,-0.6230278050852194,1.0,0.0,0.0,nan,293.80509428439643,nan,9.753967231646811,0.49731008299658497,0.592580292697993,nan,nan
4,80,1.1784103859076287,10,1.7,0.6133229280516834,0.3832498106578403,-0.6045454357160749,1.0,0.0,0.0,nan,188.075338739204,nan,13.13032300892406,0.5717307216406845,0.6231144333095918,nan,nan
5,80,-1.686254316722012,10,1.9,0.6592374231329409,0.38356204209268974,-0.613600725338819,1.0,0.0,0.0,nan,267.53767590185447,nan,11.97705102053595,0.5704411984980068,0.6208731058599777,nan,nan
6,80,4.830668757231977,10,2.0,0.9066847510739467,0.7655441155031821,-0.6409630750535247,1.0,0.0,0.0,nan,266.7694010868534,nan,15.399675601882015,0.48250550938505493,0.5628372657922461,nan,nan
7,80,3.324069808904759,10,1.3,0.6254783832286221,0.4882736094093339,-0.6030415190791641,1.0,0.0,0.0,nan,185.60382555708154,nan,16.685999796768712,0.500818005651921,0.5771252627909128,nan,nan
8,80,7.797006403555941,10,0.9,0.5972943943666389,0.4802338088682278,-0.597372672643514,1.0,0.0,0.0,nan,185.97369229257478,nan,21.103399307138996,0.5489192492447124,0.6234335445966357,nan,nan
9,160,2.466604793098542,10,1.1,0.48614182240897,0.24631473129561243,-0.5889564113384022,1.0,0.0,0.0,nan,225.49622296115749,nan,20.66061790962358,0.5988948873925469,0.6557725356996855,nan,nan
10,160,4.075096786573389,10,2.0,0.8917295562923148,0.7584510624896013,-0.6358130438355272,1.0,0.0,0.0,nan,276.8409157399111,nan,11.159995005506904,0.45636119664069597,0.528980079766844,nan,nan
11,160,2.2796178959349245,10,2.0,0.731029566486192,0.5087216212957772,-0.6215554530207333,1.0,0.0,0.0,nan,273.5204385237315,nan,15.842927821346578,0.5764409352574447,0.6262043287964156,nan,nan
12,160,7.4358303259047425,10,1.7,0.8228578136704288,0.7591141497124168,-0.6278205029201451,1.0,0.0,0.0,nan,252.17337826782705,nan,15.942625449329892,0.45973078074783424,0.5389484864530975,nan,nan
13,160,5.369524301564118,10,1.5,0.7430636175581807,0.6252937403748238,-0.6197111852506547,1.0,0.0,0.0,nan,259.1934800853708,nan,18.081479629462176,0.4791504110815083,0.5696865385694097,nan,nan
14,160,-1.4465644640533852,10,1.6,0.6275419156087113,0.3789444308395681,-0.6063362573374539,1.0,0.0,0.0,nan,206.7120421211901,nan,14.545427481851226,0.4538086582946058,0.5423436664630382,nan,nan
15,160,6.175218490745743,10,1.0,0.6690865377198902,0.6196865648566604,-0.6064377131057452,1.0,0.0,0.0,nan,223.69782695783084,nan,17.71626801864806,0.5267560150241698,0.5955159452502089,nan,nan
16,160,1.7603962942086495,10,1.1,0.43730692659634735,0.1159383824526627,-0.5796021824567607,1.0,0.0,0.0,nan,153.9731595212461,nan,14.048698275844185,0.5383241177096951,0.5772311980987915,nan,nan
17,240,5.227289811778297,10,0.9,0.5484594985540163,0.3608858412128623,-0.5905278270057505,1.0,0.0,0.0,nan,211.6175615963219,nan,17.772494569611872,0.5212314071480464,0.5922737075945218,nan,nan
18,240,6.701155311460247,10,1.4,0.8097504236950275,0.772461559864974,-0.6278880426724761,1.0,0.0,0.0,nan,232.3111163988337,nan,17.49605654457057,0.4029299802371285,0.47519513039167155,nan,nan
19,240,2.4875282902012397,10,1.6,0.7474327475499811,0.6347473020173509,-0.6190731286786008,1.0,0.0,0.0,nan,280.65240153284424,nan,17.50193427736912,0.4991328595999634,0.5791521035680794,nan,nan
20,240,6.730715365484224,10,1.8,0.7295571520369839,0.5177360948024249,-0.6172879254746914,1.0,0.0,0.0,nan,255.69301591745557,nan,10.946618296558363,0.5086585480259939,0.5827064086988918,nan,nan
21,240,3.54699211185988,10,1.8,0.7525380847663856,0.6321970583672811,-0.6194548226333725,1.0,0.0,0.0,nan,207.44928027865203,nan,13.671517394150209,0.4555442690109497,0.5436760782572398,nan,nan
22,240,3.8666760546890666,10,2.3,0.9012040235005196,0.7668890169648392,-0.6431462985373487,1.0,0.0,0.0,nan,284.110356897823,nan,12.939959292610277,0.46321369254888073,0.542665976377092,nan,nan
23,240,6.000149443819851,10,1.4,0.6526833566561012,0.4972492198984531,-0.6045234564314552,1.0,0.0,0.0,nan,165.410441844647,nan,15.86056156626124,0.4820679288446671,0.5668977466427703,nan,nan
24,240,-0.21985526774882902,10,2.0,0.730414763366538,0.5107207009715988,-0.6193510037970764,1.0,0.0,0.0,nan,228.32029647887776,nan,12.34902863305301,0.5351519670862627,0.6014042629232664,nan,nan
25,320,6.010586658872618,10,1.0,0.5039937327331941,0.2514939063752148,-0.5864433708399112,1.0,0.0,0.0,nan,122.32174751202722,nan,14.939257961863692,0.5414473443148194,0.6194693959530719,nan,nan
26,320,7.023961216202534,10,1.7,0.8228578136704285,0.7617163083099926,-0.6269279549307103,1.0,0.0,0.0,nan,262.8540506943997,nan,14.1091805621862,0.5026543271785021,0.5603927042452377,nan,nan
27,320,7.586581310071732,10,1.0,0.5714167460946451,0.3751464659003612,-0.5928327627004879,1.0,0.0,0.0,nan,142.01546881550243,nan,15.48024161102112,0.486496965336838,0.5661130586337167,nan,nan
28,320,2.929374946470775,10,1.5,0.7430636175581807,0.6200427529718404,-0.6186764387993059,1.0,0.0,0.0,nan,239.06818300244873,nan,15.560826680043672,0.5118821121297288,0.5840890589192828,nan,nan
29,320,1.903467431550355,10,1.7,0.7703899950906099,0.6273246754767886,-0.6238572971042432,1.0,0.0,0.0,nan,279.1471883456953,nan,14.384347104729017,0.5420714946134144,0.6123465746840018,nan,nan
30,320,2.3357895581540644,10,2.1,0.8250427501554679,0.6436068073571446,-0.6271461373178997,1.0,0.0,0.0,nan,279.9226888977556,nan,9.934847600172251,0.5057787066324425,0.562952689398321,nan,nan
31,320,3.626186447137353,10,1.6,0.8370768012274565,0.7635595837875068,-0.6324943056075717,1.0,0.0,0.0,nan,325.76487796259215,nan,17.012846947276024,0.52384726064193,0.5805767960626406,nan,nan
32,320,4.0065770900696265,10,1.4,0.6526833566561012,0.49685765248658564,-0.608115070877144,1.0,0.0,0.0,nan,264.33951258154923,nan,18.49298877081915,0.4999252697613882,0.5662217782165756,nan,nan
33,400,-2.131668542610564,10,2.1,0.7347838933583384,0.5174983553843859,-0.6214631897206994,1.0,0.0,0.0,nan,284.52922521180767,nan,11.669568882480121,0.46376327891619784,0.545172723987263,nan,nan
34,400,-6.806800609972168,10,2.9,0.9080245833760324,0.763913855755387,-0.6425514062838807,1.0,0.0,0.0,nan,338.17428509310906,nan,8.232406535889123,0.5164327043811764,0.618160048414503,nan,nan
35,400,2.879272099223913,10,2.1,0.8696299200812401,0.7613481993181954,-0.6355921933003371,1.0,0.0,0.0,nan,295.20323565317346,nan,12.86422723011064,0.447402169124565,0.5360566568782553,nan,nan
36,400,3.5110469689858155,10,1.4,0.6038484608434784,0.3795384228073873,-0.6012157854643393,1.0,0.0,0.0,nan,206.80637866031807,nan,11.316800667230236,0.5172294221027388,0.6008989478427982,nan,nan
37,400,0.7683648087688115,10,1.5,0.6490267487001319,0.3899519797623022,-0.6047572719526619,1.0,0.0,0.0,nan,264.3862976473622,nan,9.3735410653161,0.48238177894890394,0.536922162997733,nan,nan
38,400,5.969940838081614,10,1.4,0.6749043969721258,0.5069223980095594,-0.6109413771243488,1.0,0.0,0.0,nan,239.0299263342502,nan,19.006990187443503,0.43875594049360434,0.5316495831509557,nan,nan
39,400,3.9858905498986883,10,2.3,0.938380258598176,0.7706847237939182,-0.6455893767181788,1.0,0.0,0.0,nan,310.93567748199735,nan,10.938418865803236,0.5280013614958742,0.5899668982493711,nan,nan
40,400,6.6839855019978085,10,1.3,0.6705352669803253,0.5085721038333002,-0.606318460326235,1.0,0.0,0.0,nan,228.50139888090672,nan,15.683420572834473,0.48408637448204284,0.5771314657083497,nan,nan
41,480,9.18978844415043,10,1.4,0.8097504236950275,0.755978757460721,-0.625081208090406,1.0,0.0,0.0,nan,214.14198763671115,nan,17.09013072734432,0.45772433086110853,0.5324921007145059,nan,nan
42,480,0.6988804946161485,10,2.2,0.8481450869898198,0.7575117811025477,-0.6300625109006257,1.0,0.0,0.0,nan,280.6940317137066,nan,10.13207806310963,0.49796567348446186,0.582342246808149,nan,nan
43,480,5.982485703010984,10,1.0,0.6016635243584393,0.487940069943957,-0.597943939050252,1.0,0.0,0.0,nan,161.62226331075513,nan,16.767755540009784,0.5245082882971646,0.6005178229316817,nan,nan
44,480,-1.286878989022912,10,1.6,0.5415307846984321,0.24967224196395196,-0.5942166981777014,1.0,0.0,0.0,nan,251.85127244007714,nan,12.582404146262625,0.5910287732620819,0.6479922075207089,nan,nan
45,480,3.9159379835898376,10,1.7,0.6801311382934803,0.5048462274661099,-0.6092787101279715,1.0,0.0,0.0,nan,232.25660282149838,nan,15.783255652571892,0.4873545455549467,0.577730860270953,nan,nan
46,480,6.90815592768595,10,2.0,0.8695085159762902,0.7638480421108076,-0.6343695942806106,1.0,0.0,0.0,nan,307.7811324242852,nan,13.16927199855428,0.4935936079871757,0.5848646111557356,nan,nan
47,480,7.960140920662702,10,1.8,0.8458150612110572,0.766414946988917,-0.6324199063613267,1.0,0.0,0.0,nan,212.03234588585528,nan,14.83245442654983,0.4818588332015844,0.5666579290031086,nan,nan
48,480,2.1794039967141305,10,1.3,0.5320563174902273,0.25339540341995637,-0.5893451664306963,1.0,0.0,0.0,nan,230.77148225635847,nan,14.103707766043922,0.4638995217396401,0.5310323179086811,nan,nan
49,560,1.8663933245308402,10,1.8,0.7109690344881555,0.5017939839490551,-0.6180099007208592,1.0,0.0,0.0,nan,238.41682253689197,nan,11.479731509202045,0.5231399857792096,0.6118663438652204,nan,nan
50,560,6.503371004683058,10,1.0,0.6016635243584394,0.49630520401705375,-0.6029718931861904,1.0,0.0,0.0,nan,269.7994788840241,nan,22.943044160358117,0.5529978533801094,0.5860136574955809,nan,nan
51,560,7.922619428220904,10,1.5,0.7918985133708033,0.7507881785492799,-0.6217271665361008,1.0,0.0,0.0,nan,217.1293696586778,nan,16.159048883908177,0.4869060383466645,0.5663971539622168,nan,nan
52,560,3.5355267441533647,10,1.3,0.6705352669803253,0.5038887823966984,-0.6097789065767282,1.0,0.0,0.0,nan,203.64753617970877,nan,15.673712279299153,0.3998622830421218,0.493726001963378,nan,nan
53,560,2.393646067545499,10,1.7,0.7703899950906098,0.6330420416375724,-0.6227570761857091,1.0,0.0,0.0,nan,272.7374559249773,nan,15.414905780725519,0.5207893192900211,0.597040428757012,nan,nan
