timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,electrode_radius_mean,theta_mean,phi_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,0.06266001369151655,0.0,0.3407966716376465,1.0,0.5854397971201669,0.6170098194405582,0.125,0.08974017919156412,-0.21297607389729387,-0.6312727846309257,16.425388834142574,553.9523157134854,0.5566741301709556,21.965480775332864,0.4919375063235258,2.6002661886296776,1.9144336780797282,nan,nan,nan,nan
800,100,-0.50286488119414,-4.190617149474495,0.03443194792054076,1.0,0.5666697329279857,0.624624157771466,0.25,0.17948035838312823,-0.04860404336846619,-0.6522038635881352,8.732023603067592,498.11248770093175,0.5233162940670911,16.32978206555133,0.47427277204109614,2.2307631182662564,1.3658637876545885,nan,nan,nan,nan
1200,150,0.37713417634349433,-1.2162185592335693,1.78697525483066,1.0,0.4164771411804392,0.47750998276112067,1.0,0.5347905742351781,0.49118878949581657,-0.6109796068051009,11.127147035512841,553.8029341353442,0.5863799529314587,15.687867677546075,0.5092141680982145,3.5254165100655004,2.1602324788563925,nan,nan,nan,nan
1600,200,0.19497634836029862,-0.2245724909642064,0.8466315155023183,1.0,0.5483020984013669,0.622721463090042,0.5,0.35896071676625646,0.30180249679319415,-0.6333079818066463,12.324073206948665,626.6693491864983,0.5256170070378242,17.730076651967778,0.4656687776304954,2.423238476212433,1.5423305245983228,nan,nan,nan,nan
2000,250,-0.546162794758714,-3.6821297422776955,0.32773044228184844,1.0,0.48509731744069995,0.5514764725623844,0.625,0.38765727619204227,0.31788479727548685,-0.6674158386302167,14.130770255912658,594.9428904558745,0.5626097727736836,17.218566394326754,0.5018082394555801,3.6391020645488137,1.4573079583906086,nan,nan,nan,nan
2400,300,0.21786771923642934,0.0,1.5859400392355347,1.0,0.5924396156220353,0.6412854093700798,0.375,0.12389815110710042,-0.2169704817233035,-0.649565670672122,20.074877009990402,430.65207265184233,0.6986284431630582,17.75859019161105,0.4684602255685612,2.955588828340356,0.8934803080075016,nan,nan,nan,nan
2800,350,-0.015460550558864222,-2.941180370836038,1.6415613053739349,1.0,0.5069395719892497,0.557727589848723,0.625,0.326613656426264,0.14621799640871652,-0.622356474247477,15.210033732143353,344.08792735019864,0.2893325019786406,16.527574005186477,0.5082669784503315,2.506007949097415,1.1155386941088548,nan,nan,nan,nan
3200,400,-0.061927970827474796,-1.422907848712121,1.2148114567164343,1.0,0.4817279100597933,0.5678464003184313,0.5,0.2979170970004782,0.19445293772018363,-0.6668877408556697,15.49484082677677,609.0991389185572,0.5524174847818499,14.231937799882076,0.5258908762251856,2.541389681851398,1.4368963482564725,nan,nan,nan,nan
3600,450,0.1201641398833229,0.028037928682988246,0.7234322888333913,1.0,0.49263198612046,0.5927068522567331,0.125,0.08974017919156412,-0.11142873995800681,-0.6411948766491475,16.58505305163319,375.94785481918126,0.4634976699175348,17.17582083282268,0.5199317416645359,2.285662647870203,1.446044154108502,nan,nan,nan,nan
4000,500,0.21563376820542143,0.000899668786973261,1.528410101191842,1.0,0.47860819450893555,0.5328302313263945,0.25,0.11843673861734993,-0.17353002414101282,-0.6383232182807684,16.878133461492265,343.59995754410875,0.6730375210352109,14.785372333737758,0.49673027798796543,1.2577420741453458,1.8388438765720556,nan,nan,nan,nan
4400,550,-0.16000274565180414,-1.5193780503859173,0.03776867208003119,1.0,0.5533677638198243,0.624866240992618,0.5,0.12481841013785558,-0.10851815973947665,-0.6680845597491643,12.414092397710402,666.2876397296798,0.5429365385854343,16.571069441518507,0.49200576087715997,3.4650717639077895,1.352225592214063,nan,nan,nan,nan
4800,600,0.1819204014009463,-0.9204805618946823,2.1975754509685825,1.0,0.4328984048372671,0.5297786957885293,0.625,0.24233488972445036,0.0038334785937640947,-0.6482427581221321,16.54367402415776,601.4632807736664,0.3938714568129821,16.078112381451273,0.47842033030704634,2.8501954186828606,0.9955433408792373,nan,nan,nan,nan
5200,650,0.0041878139414627084,0.0,0.03349376556419441,1.0,0.9428246876195772,0.821194013820169,0.0,0.0,-0.5805079031655598,-0.6240394444131545,0.9781650981481653,29.06121965497732,0.035915457786468326,29.19512267690152,0.4973304545772431,2.447511995503777,1.7121978642951026,-0.4972052723169327,1.2799880281090736,nan,nan
5600,700,0.026809184843551756,4.976326184733713e-06,0.037024052026908366,1.0,0.8504558869171888,0.18769973657543731,0.0,0.0,-0.34226307469553235,-0.6534305226912444,2.4727033995557575,188.3568448247388,0.021521954253548754,0.5092667369171977,0.4500361954099008,3.5507370660214543,1.800179044802396,-0.34105125814676285,0.7169146537780762,nan,nan
6000,750,-0.4536895322164308,-3.805999695023727,0.036626715859608715,1.0,0.8188652712851763,0.6217415271687158,0.125,0.08974017919156412,-0.19212171309187753,-0.6767642741580142,0.8702183784241787,742.139243055135,0.042803526369389146,1.2777095474302769,0.49506353884251736,2.9104032334023815,1.042193881768443,-0.4945533126592636,0.559651680290699,nan,nan
6400,800,0.013392305987207708,0.0,0.037526319229938356,1.0,0.786177926603159,0.5575234127541545,0.0,0.0,-0.48356759667026533,-0.6261652812724637,0.5300531100167426,662.1569304261357,0.03333992359732292,1.46653538569808,0.5264450613958059,2.755893132966044,1.758302074826835,-0.4644312858581543,0.5100739374756813,nan,nan
6800,850,0.2726108495778049,0.034176672450385505,1.9329247534701126,1.0,0.58832634355349,0.5422088895405509,0.25,0.11843673861734993,-0.09933442963590562,-0.680530589801084,12.827854358803014,643.074116873322,0.01697506249882281,2.3213513754308224,0.5211316884088346,3.169126266153758,1.3546225370972114,-0.3995015174150467,0.47302478924393654,nan,nan
7200,900,0.03490492156488249,0.03251498500584002,0.0380630767614677,1.0,0.5814853956144361,0.5752814516457202,0.0,0.0,-0.25700001018630647,-0.6812022860395084,18.680159694858595,537.8063236712478,0.029402811464751724,1.4519675227347761,0.5280557377557686,3.333920852612069,2.108382551327928,-0.5140637084841728,0.5278856530785561,nan,nan
7600,950,0.21340030180311237,-0.7852575115670808,2.2992295506017215,1.0,0.3756545525684487,0.39451837305665904,0.5,0.21363833029866452,0.017529092014742148,-0.6488672869709284,11.671816950174398,492.7689887699671,0.4394449166062987,0.4451381787657738,0.47277735852662517,2.062446825508274,1.924503137569148,-0.4856903478503227,0.4450152814388275,nan,nan
8000,1000,0.6721240614446486,0.028452576555172054,2.027591755711052,1.0,0.33920959384704474,0.4060732383296982,1.25,0.4846697794489008,0.31980602462745766,-0.6522955407651833,13.422099397493295,494.9322280008346,0.4567754005035386,0.6504680987563916,0.48814314427362315,3.0362157419292624,2.006121601509988,-0.5016365349292755,0.44200320914387703,nan,nan
8400,1050,1.139574228278445,0.032366188406790064,2.7751191710158825,1.0,0.4152020848050597,0.37786052466036474,1.625,0.49651286345915685,0.3417110791516916,-0.6396416523332549,10.851259757164952,492.8684567566961,0.39465737981488924,1.6194201540201902,0.46588929467242435,3.466797414438044,1.8315342064743396,-0.5725003927946091,0.520431637763977,nan,nan
8800,1100,0.25454704250937443,0.027882323093439423,1.794363181956229,1.0,0.47465957500389777,0.46254592510010234,0.375,0.12389815110710042,-0.11088419337504328,-0.6693052101188016,8.833914037843932,620.8564381231554,0.4053230657149106,0.5944001488387585,0.5326965964863715,3.6826446177414667,1.355293888734532,-0.6316175162792206,0.512014951556921,nan,nan
9200,1150,0.3141047094116867,0.021342223288152662,2.309601290289099,1.0,0.5187847983834217,0.5121319249391793,0.375,0.12389815110710042,-0.1652793330587003,-0.6433317746253366,10.782723496342077,625.1782374311006,0.32850266723777166,1.1750970594584942,0.5035500055451648,2.71923037637532,1.455796600790527,-0.6249913424253464,0.4274416044354439,nan,nan
9600,1200,0.3109617311467165,0.023714701517321062,2.2692514409696622,1.0,0.5302841449265543,0.4771743779103494,0.375,0.12389815110710042,-0.14093846787949862,-0.6577240623557044,11.752760930226284,581.7191994283348,0.2030086221289821,1.031619538553059,0.5025462903636269,2.4869346856339156,1.6808428232816537,-0.6419835984706879,0.39625581726431847,nan,nan
10000,1250,0.2170744929358479,0.021087459522454662,1.5285157605177297,1.0,0.5778408049955033,0.60979295981549,0.25,0.11843673861734993,-0.1531046257916249,-0.6678680694359598,12.672852960310411,789.5626499084756,0.24171213357476518,1.4085344946943223,0.495892312490685,2.4817573885603013,1.3461823514165918,-0.7033230662345886,0.3510886989533901,nan,nan
10400,1300,0.49541512937243215,0.02028394926412022,2.098602031686184,1.0,0.5343511561459309,0.5118853258240159,0.625,0.24233488972445036,0.009712104363445745,-0.6769382861881643,9.439565477920878,653.6055201431736,0.33644328074646185,1.689201279077679,0.5086332454061444,2.581293836563541,1.2689421380340158,-0.6831874698400497,0.3728261739015579,nan,nan
10800,1350,0.30418338138614753,0.031262521051732974,1.8282394001311906,1.0,0.455431433103513,0.38570268661507917,0.5,0.21363833029866452,0.0608008823692166,-0.6235213303154308,9.540907711871549,475.3940165392123,0.35488125455565755,0.5862677609547973,0.4980604910758983,2.5777044277779093,1.947405023010676,-0.7588798105716705,0.430174320936203,nan,nan
11200,1400,1.3685160454589644,0.03550324430203251,3.214857518325087,1.0,0.5020670176818385,0.4019309681657485,1.75,0.6094881895867563,0.4944139604106903,-0.6266514454697047,6.981204341904958,528.9884000667371,0.3542144012816425,1.2531941011548042,0.5270370393736832,4.434398200441853,1.8546001136764492,-0.7704711556434631,0.46922339126467705,nan,nan
