timesteps,callback_step,reward_mean,reward_min,reward_max,done_rate,action_abs_mean,action_std,spikes_mean,state_fr_mean,state_peak_vm_mean,state_last_mp_mean,period_mean,amplitude_mean,duty_cycle_mean,delay_mean,train_actor_loss,train_critic_loss,train_ent_coef,train_ent_coef_loss
400,50,0.2220169791368032,0.00016936220383392494,0.3717111355640156,1.0,0.4320641493716353,0.5071559435245377,0.0,0.0,-0.39078842437642825,-0.6451574310608912,14.113368995079178,235.23472158864308,0.360883640849206,12.066673581711878,nan,nan,nan,nan
800,100,0.3083196098502462,0.0,0.3608469842676563,1.0,0.4190805541497589,0.5186025877904515,0.0,0.0,-0.29989580986676756,-0.6645096713014108,13.791219973560786,244.7431912759389,0.6615764817547637,9.683682516689931,nan,nan,nan,nan
1200,150,0.2275332487768655,0.0,0.38467906614292635,1.0,0.5892788068286423,0.644391003213042,0.0,0.0,-0.3849787733173507,-0.6441968688729605,14.235827646153584,262.9053569883092,0.5277402537054818,10.244604151850673,nan,nan,nan,nan
1600,200,0.22533219778191454,0.0,0.39045513549885247,1.0,0.4487120125720854,0.5135071703922593,0.0,0.0,-0.38729688665811846,-0.6418738108455094,15.678230581281491,276.42539238708343,0.5199652168783722,15.720472794787355,nan,nan,nan,nan
2000,250,0.5177632668507582,0.001710828082465809,2.423159499001756,1.0,0.5573737324962023,0.6210430948606418,0.25,0.05290896886013559,-0.20479806369758735,-0.6477647676138379,17.012540540367844,292.5665933753513,0.6832913671977487,12.653713077988025,nan,nan,nan,nan
2400,300,0.26495313954291844,0.0,0.3585522334836374,1.0,0.5010423329871745,0.5875828611303769,0.0,0.0,-0.3455687150343571,-0.6451860820091844,15.255572030959316,224.9209091182788,0.5193830076466699,18.233224162159036,nan,nan,nan,nan
2800,350,0.3082053351330216,0.0,0.37415797651293686,1.0,0.527748847336893,0.6014896146454335,0.0,0.0,-0.3000161622562026,-0.6672824105009699,19.20277207848893,215.28609956521996,0.6922795046131783,11.463825475577352,nan,nan,nan,nan
3200,400,0.4179083186382843,6.828497357843934e-05,2.6354988813353932,1.0,0.4989297612543929,0.584183711179305,0.25,0.05290896886013559,-0.3398893254527774,-0.6125271716033495,19.303070738071597,140.73138237903026,0.5938221172056433,13.464272360798278,nan,nan,nan,nan
3600,450,0.13334842278924242,0.0,0.3625224382150246,1.0,0.5943828890560958,0.6489427563940816,0.0,0.0,-0.48417279568240745,-0.6554190089924237,13.33479736432138,227.53202433400068,0.6494673920370841,12.575787725494019,nan,nan,nan,nan
4000,500,0.266495488093151,0.00019269263692459993,0.37016629203535434,1.0,0.4014407186495303,0.507781391017983,0.0,0.0,-0.3439443370628293,-0.6557157804095357,17.72284043549417,255.57854254355686,0.41165298113156157,14.026884030412571,nan,nan,nan,nan
4400,550,0.504019932308305,9.947065960240351e-05,1.891835485271088,1.0,0.4744240432887826,0.5465990057151118,0.125,0.027759124806230783,-0.15445784273829502,-0.6588138320813258,16.922283595028617,271.8391169291491,0.45662387698965734,13.842338402652327,nan,nan,nan,nan
4800,600,0.3051190022057306,0.000718863644700682,0.37017003339897997,1.0,0.529476169400869,0.6021731516279301,0.0,0.0,-0.3032666410271242,-0.6612380359282178,11.689371053708811,332.618174343992,0.5019844598052224,11.58141667274093,nan,nan,nan,nan
5200,650,0.544818410524436,4.342069971470727e-05,2.2426666666666666,1.0,0.9374497238895856,0.9434024286459003,0.375,0.07373701841697215,-0.15209628574131112,-0.6349004608861991,2.19046387318056,496.6207395773381,0.975013592169853,0.611906130798161,-0.5865534991025925,0.10070672165602446,nan,nan
5600,700,0.3128684194152625,0.000804753882575399,0.4291876147685309,1.0,0.9258298724889755,0.9308125767095817,0.0,0.0,-0.2951050730044846,-0.6640140386601152,1.0325948942732066,487.7056870609522,0.9599247594643384,1.4752117730677128,-0.5042825862765312,0.09710556594654918,nan,nan
6000,750,0.5465502252972463,0.00533333333333319,2.278404976271351,1.0,0.8357895680674119,0.8668576873510315,0.5,0.10149614322320294,0.032481522189496126,-0.6724078384316126,6.859564600624143,466.3470295490697,0.983380200851243,0.9332067865761928,-0.4822608083486557,0.07760834041982889,nan,nan
6400,800,0.440810732396129,0.3308496900887303,1.110541058599437,1.0,0.8163135913491715,0.8096217823373809,0.25,0.05290896886013559,-0.11219496020010088,-0.6710437130248086,16.46576839130197,482.91798192076385,0.9732778953947127,1.0440084000583738,-0.4547780677676201,0.08957484178245068,nan,nan
6800,850,0.3517448953634956,0.32299778295511333,0.38266816064377507,1.0,0.8001124247675762,0.7787568548423733,0.0,0.0,-0.2541609614212622,-0.6764033916079462,20.17848508828785,479.00016279891133,0.9754798429622316,1.2304491642862558,-0.43420637398958206,0.05661128414794803,nan,nan
7200,900,0.36273035323446506,0.33648704238624905,0.45666868812296996,1.0,0.6612327900948003,0.7128635792298934,0.0,0.0,-0.24259124472521468,-0.6809680715257198,19.635564855085686,474.8350348090753,0.7332562657399102,0.9219031780958176,-0.4625784605741501,0.0664478512480855,nan,nan
7600,950,0.6971778146619407,0.35052394269292936,2.184,1.0,0.4724561321636429,0.5548273079434878,0.625,0.12664598727710774,0.04288013909785221,-0.6443570069873656,12.343051497860579,435.44948688941076,0.688372251302062,8.23245304170996,-0.4978315085172653,0.08109007123857737,nan,nan
8000,1000,0.588551797063581,0.33887151160018925,2.202186589677158,1.0,0.47315475791401695,0.5382846866758632,0.375,0.07373701841697215,-0.10205168220678476,-0.6521934115644472,11.687548866483557,452.96177436830476,0.7045468482386786,9.848080681404099,-0.5196227133274078,0.09642801829613745,nan,nan
8400,1050,0.5250234301972296,0.33921833932589596,1.7065620153277334,1.0,0.4511811148695415,0.5201957100117397,0.25,0.05290896886013559,-0.10414405780623921,-0.655257102088842,12.390215201932296,414.6375220880145,0.6145876518750447,7.6353911007754505,-0.5017583444714546,0.06872895616106689,nan,nan
8800,1100,0.47567989367082797,0.33803427103422073,1.3093333333333332,1.0,0.5523751713299134,0.599354748874836,0.25,0.05290896886013559,-0.10370032891721644,-0.6487183189959549,12.126467740263905,435.5418675695546,0.812616480612196,8.202919456743984,-0.49017734825611115,0.061661941930651665,nan,nan
9200,1150,0.44234772909680214,0.3309806349034055,1.0697859100937805,1.0,0.4378423049929552,0.48403864150357,0.125,0.027759124806230783,-0.10939459035985849,-0.6393990516491825,9.256848008187662,419.0533713408513,0.6607893379370217,11.403349279426038,-0.5233438089489937,0.08155535208061337,nan,nan
9600,1200,0.3510940137459254,0.3401925548171225,0.3632264939669601,1.0,0.3672421565715922,0.46165902009452037,0.0,0.0,-0.2548464600146211,-0.6628473338057833,11.063526515217962,425.2586079528555,0.5482349157772841,10.751324908342212,-0.5013988092541695,0.07166838878765702,nan,nan
10000,1250,0.3524689962415317,0.33660985971023477,0.3694157000452667,1.0,0.4896092196868267,0.5808508319196174,0.0,0.0,-0.25339834941941053,-0.6721946364213334,9.338255040289368,437.16459977440536,0.5620465562096797,10.027145309722982,-0.5102315247058868,0.07845307234674692,nan,nan
